"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2018-03-27","1168.55","1217.39","1134.92","1207.71","0.00","468104000"
"NEPSE","2018-03-28","1207.71","1222.95","1187.04","1204.81","0.00","493057984"
"NEPSE","2018-03-29","1204.81","1222.58","1204.69","1220.29","0.00","321771008"
"NEPSE","2018-04-01","1204.81","1222.63","1185.51","1196.24","0.00","293590016"
"NEPSE","2018-04-02","1196.24","1199.78","1191.24","1192.96","0.00","184803008"
"NEPSE","2018-04-03","1192.96","1200.35","1188.51","1199","0.00","213594000"
"NEPSE","2018-04-04","1199","1227.97","1199.06","1226.45","0.00","318393984"
"NEPSE","2018-04-05","1226.45","1250.49","1226.45","1250.39","0.00","605590976"
"NEPSE","2018-04-08","1250.39","1303.3","1250.19","1294.65","0.00","885886976"
"NEPSE","2018-04-09","1294.65","1316.6","1286.76","1287.78","0.00","796424000"
"NEPSE","2018-04-10","1287.78","1292","1266.85","1270.23","0.00","333681984"
"NEPSE","2018-04-11","1270.23","1273.35","1257.92","1273.33","0.00","250412000"
"NEPSE","2018-04-12","1273.33","1285.54","1273.37","1277.55","0.00","404896992"
"NEPSE","2018-04-15","1277.55","1280.9","1259.21","1280.15","0.00","292868992"
"NEPSE","2018-04-16","1280.15","1302.1","1277.01","1297.57","0.00","560924992"
"NEPSE","2018-04-17","1297.57","1334.45","1297.58","1331.18","0.00","916345984"
"NEPSE","2018-04-18","1331.18","1392.16","1327.78","1363.01","0.00","1064979968"
"NEPSE","2018-04-19","1363.01","1391.74","1361.18","1388.31","0.00","1044529984"
"NEPSE","2018-04-22","1388.31","1438.57","1388.66","1438.49","0.00","1154540032"
"NEPSE","2018-04-23","1438.49","1461.21","1398.41","1410.85","0.00","1457789952"
"NEPSE","2018-04-24","1410.85","1413.99","1391.19","1394.86","0.00","688872000"
"NEPSE","2018-04-25","1394.86","1399.46","1384.59","1386.47","0.00","529377984"
"NEPSE","2018-04-26","1386.47","1392.63","1354.19","1357.22","0.00","567923968"
"NEPSE","2018-04-29","1357.22","1362.66","1337.93","1349.01","0.00","378035008"
"NEPSE","2018-05-02","1349.01","1360.87","1335.39","1360.38","0.00","362500000"
"NEPSE","2018-05-03","1360.38","1376.68","1360.41","1366.15","0.00","710668992"
"NEPSE","2018-05-06","1366.15","1366.67","1353.4","1353.64","0.00","345672992"
"NEPSE","2018-05-07","1353.64","1353.79","1344","1345.37","0.00","406921984"
"NEPSE","2018-05-08","1345.37","1361.02","1344.32","1361.02","0.00","476043008"
"NEPSE","2018-05-09","1361.02","1365.62","1352.67","1356.15","0.00","331771008"
"NEPSE","2018-05-10","1356.15","1356.93","1348.45","1348.45","0.00","332507008"
"NEPSE","2018-05-14","1348.45","1350.14","1337.44","1338.17","0.00","395136992"
"NEPSE","2018-05-15","1338.17","1341.18","1332.41","1333.85","0.00","136671008"
"NEPSE","2018-05-16","1333.85","1338.45","1333.54","1338.01","0.00","213126000"
"NEPSE","2018-05-17","1338.01","1348.12","1337.65","1339.65","0.00","276532000"
"NEPSE","2018-05-20","1339.65","1356.94","1335.94","1339.19","0.00","322665984"
"NEPSE","2018-05-21","1339.19","1340.72","1332.27","1337.13","0.00","300710016"
"NEPSE","2018-05-22","1337.15","1338.29","1331.81","1332.82","0.00","310732992"
"NEPSE","2018-05-23","1332.82","1333.05","1326.28","1328.27","0.00","290099008"
"NEPSE","2018-05-24","1328.27","1331.02","1317.34","1318.22","0.00","364064992"
"NEPSE","2018-05-27","1318.22","1318.3","1300.13","1300.41","0.00","368198016"
"NEPSE","2018-05-28","1300.41","1336.71","1291.34","1336.39","0.00","397385984"
"NEPSE","2018-05-29","1336.39","1340.6","1322.34","1327.21","0.00","407628992"
"NEPSE","2018-05-30","1327.21","1341.71","1318.24","1322.27","0.00","428747008"
"NEPSE","2018-05-31","1327.21","1323.11","1305.61","1307.66","0.00","327692000"
"NEPSE","2018-06-03","1307.66","1307.63","1273.02","1273.95","0.00","496812000"
"NEPSE","2018-06-04","1273.95","1281.98","1258.58","1268.84","0.00","403524992"
"NEPSE","2018-06-06","1268.84","1295.82","1268.91","1282.75","0.00","189312992"
"NEPSE","2018-06-07","1282.75","1285.84","1256.75","1257.07","0.00","413830016"
"NEPSE","2018-06-10","1257.07","1259.04","1231.06","1231.64","0.00","427745984"
"NEPSE","2018-06-11","1231.64","1252.7","1223.78","1241.19","0.00","371065984"
"NEPSE","2018-06-12","1241.19","1244.85","1230.42","1239.26","0.00","271081984"
"NEPSE","2018-06-13","1239.26","1243.1","1235.01","1242.07","0.00","189940992"
"NEPSE","2018-06-14","1239.26","1252.87","1241.85","1247.3","0.00","269468000"
"NEPSE","2018-06-17","1247.3","1248.62","1232.41","1233.23","0.00","226919008"
"NEPSE","2018-06-18","1233.23","1235.15","1221.92","1235.15","0.00","188058000"
"NEPSE","2018-06-19","1235.15","1236.48","1223.93","1226.18","0.00","189708992"
"NEPSE","2018-06-20","1226.18","1226.83","1217.46","1217.84","0.00","242912992"
"NEPSE","2018-06-21","1217.84","1225.43","1211.31","1218.46","0.00","170062000"
"NEPSE","2018-06-24","1218.46","1227.74","1216.21","1219.81","0.00","173104992"
"NEPSE","2018-06-25","1219.81","1220.76","1209.02","1210.09","0.00","178132000"
"NEPSE","2018-06-26","1210.09","1211.17","1194.35","1194.8","0.00","208990000"
"NEPSE","2018-06-27","1194.8","1205.53","1190.95","1199.42","0.00","159571008"
"NEPSE","2018-06-28","1199.42","1203.96","1197.34","1198.54","0.00","219600992"
"NEPSE","2018-07-01","1198.54","1199.05","1183.52","1184.53","0.00","187736992"
"NEPSE","2018-07-02","1184.53","1187.04","1174.83","1179.71","0.00","196692992"
"NEPSE","2018-07-03","1179.71","1183.03","1174.56","1180.36","0.00","180480000"
